iter	Passed	Remaining
403	10179	2418
404	10206	2394
405	10231	2368
406	10256	2343
407	10279	2317
408	10302	2292
409	10330	2267
410	10356	2242
411	10383	2217
412	10409	2192
413	10431	2166
414	10458	2142
415	10484	2117
416	10508	2091
417	10532	2066
418	10558	2041
419	10582	2015
420	10610	1991
421	10634	1965
422	10660	1940
423	10687	1915
424	10714	1890
425	10741	1865
426	10767	1840
427	10795	1816
428	10818	1790
429	10843	1765
430	10868	1739
431	10892	1714
432	10916	1689
433	10943	1664
434	10968	1638
435	10994	1613
436	11020	1588
437	11044	1563
438	11073	1538
439	11099	1513
440	11123	1488
441	11147	1462
442	11171	1437
443	11196	1412
444	11218	1386
445	11243	1361
446	11267	1336
447	11292	1310
448	11318	1285
449	11344	1260
450	11368	1235
451	11392	1209
452	11422	1185
453	11445	1159
454	11468	1134
455	11494	1109
456	11519	1083
457	11543	1058
458	11570	1033
459	11595	1008
460	11618	982
461	11643	957
462	11667	932
463	11694	907
464	11720	882
465	11748	857
466	11775	832
467	11799	806
468	11822	781
469	11847	756
470	11873	731
471	11898	705
472	11924	680
473	11948	655
474	11979	630
475	12002	605
476	12022	579
477	12046	554
478	12073	529
479	12097	504
480	12122	478
481	12153	453
482	12182	428
483	12205	403
484	12228	378
485	12256	353
486	12280	327
487	12308	302
488	12343	277
489	12366	252
490	12394	227
491	12423	202
492	12448	176
493	12473	151
494	12500	126
495	12525	101
496	12549	75
497	12573	50
498	12601	25
499	12624	0
