,RF,GB,SVR,Ridge,Lasso,ElasticNet,KNN,CatBoost,XGBoost,LightGBM
MSE,150094993004.88098,112466104717.20161,371726124388.87665,212178301837.6283,212116034928.04678,212545601170.11472,189087064214.39523,41230959913.086464,73372088998.33365,51350150634.84949
MAE,13409.749824996987,16174.060098872718,23801.074980837984,19223.113428333338,19214.39265429235,19273.346175068167,18028.956317463144,5280.672231854172,7667.225367534366,7745.219794343535
R²,0.003311173879663704,0.002018377119184806,0.002606066474738314,0.0013793040147117804,0.0013766935616258285,0.0013948945600045937,0.0033420754167183867,0.0006618446400572825,0.0010171315593650511,0.0007629829210414144
