,RF,GB,SVR,Ridge,Lasso,ElasticNet,KNN,CatBoost,XGBoost,LightGBM
MSE,2953474290962.4814,6071142962860.479,31366899897384.727,15223001541266.387,15223025830555.934,15222935306681.39,6107275870357.9795,1525576787044.2283,1429165441024.0,1597393818214.0625
MAE,795596.1766035934,1712898.4841659877,3538028.3746441244,2844339.6166029586,2844374.0898534455,2844140.493107778,1332499.0512556203,727744.3982967937,658728.3875,722183.6728479788
R²,0.9300372256732421,0.8388700602065278,0.2984300594418355,0.6040594845722873,0.6040588788325071,0.6040606657130979,0.8477140859698105,0.9635928201805599,0.9670973777770996,0.9628521762069427
