,XGBoost,SVM,RF,GB,Ridge,Lasso,ElasticNet,KNN
MSE,1940997065932.8,31366899897384.727,2953474290962.4814,6071142962860.479,15223001541266.387,15223025830555.934,15222935306681.39,6107185983773.977
MAE,825252.85,3538028.3746441244,795596.1766035934,1712898.4841659877,2844339.6166029586,2844374.0898534455,2844140.493107777,1332538.5201363843
R²,0.9537192821502686,0.29843005944183537,0.9300372256732421,0.8388700602065278,0.6040594845722873,0.6040588788325071,0.6040606657130979,0.8477001306643335
