,XGBoost,SVM,RF,GB,Ridge,Lasso,ElasticNet,KNN
MSE,70960839264.66763,371726124388.8744,150094993004.88098,112466104717.20161,212178301837.62436,212116034928.04742,212545601170.11465,190123371840.37738
MAE,7745.523356429829,23801.074980837984,13409.749824996987,16174.060098872718,19223.11342833337,19214.392654292256,19273.346175068044,18271.920181103676
R²,0.0012174077768771776,0.002606066474738274,0.003311173879663704,0.002018377119184806,0.0013793040147116503,0.0013766935616258285,0.0013948945600045872,0.00338630596848852
