,RF,GB,SVR,Ridge,Lasso,ElasticNet,KNN,CatBoost,XGBoost,LightGBM
MSE,520545930090096.4,800113613636048.1,4038540606484783.5,922645302154861.1,922585288223660.4,924970700694417.0,361217753965583.75,206598136064699.6,254696297912539.44,223128145959754.25
MAE,394409.1041807861,665809.5883425396,1023948.4140076425,387759.4923927685,387632.05505658063,392382.70880549453,511318.34350948664,118431.84940841093,233208.94689664032,141391.60778248118
R²,0.007678534352240609,0.006560717430724337,0.012393199773964497,0.007426477556174763,0.007424489213956836,0.0075046707340707935,0.002259222787622187,0.0019164154860218331,0.002186945302760606,0.0021737073866331196
