,RF,GB,SVR,Ridge,Lasso,ElasticNet,KNN,CatBoost,XGBoost,LightGBM
MSE,1.1248400230515956e+16,1.624734475145769e+16,4.513710978212404e+17,2.143563913719827e+16,2.1435687844284412e+16,2.1434734458229864e+16,1.2268537171311098e+16,4735686385391182.0,5480768252726477.0,5532367646340081.0
MAE,38358720.68201897,54613884.64046999,287271066.38554716,62283223.875181474,62283333.46729423,62281564.16366185,41453718.15598377,28809280.361750178,30560549.6,31268157.29125579
R²,0.9158306321789974,0.801594619600212,0.16258745519283127,0.6792894236732427,0.6792884973563922,0.6793037105801154,0.9069588388055415,0.9443089009294383,0.9473616123199463,0.9517467335751165
